benchmark,variant,success_rate_mean,success_rate_std,mode_coverage_mean,latency_ms_mean,n_seeds,n_episodes
pusht,Full DDPM (T=100),0.016,0.032,0.016,0.8313212632279221,5,25
pusht,DDPM no-noise (T=100),0.008,0.016,0.008,0.6904318522808014,5,25
pusht,DDPM single-step (T=1),0.008,0.016,0.008,0.010166300815978536,5,25
pusht,"MIP (2-iter, noise=0.1)",0.0,0.0,0.0,0.007209205782661836,5,25
pusht,Pure Regression (RCP),0.0,0.0,0.0,0.005635265974948804,5,25
reaching,Full DDPM (T=100),0.024,0.048,0.0,0.8344422172666306,5,25
reaching,DDPM no-noise (T=100),0.008,0.016,0.0,0.6943623737880477,5,25
reaching,DDPM single-step (T=1),0.0,0.0,0.0,0.010220941932251057,5,25
reaching,"MIP (2-iter, noise=0.1)",0.21600000000000003,0.0649923072370877,0.0,0.007232580965746452,5,25
reaching,Pure Regression (RCP),0.32799999999999996,0.07332121111929345,0.0,0.005640059105383279,5,25
