benchmark,controller,seed,success_rate,success_std,path_length,collision_rate,latency_ms,mode_coverage,n_episodes
reaching,Linear MPC,0,1.0,0.0,5.497964767902531,0.10263157894736841,9.895571934029306,0.0,10
reaching,Linear MPC,1,1.0,0.0,5.534620529102756,0.0976608187134503,167.59407443106065,0.0,10
reaching,Linear MPC,2,1.0,0.0,5.541128129641432,0.09736842105263158,28.00541654350345,0.0,10
reaching,Linear MPC,42,1.0,0.0,5.4347528376890235,0.10935672514619883,111.46024133974674,0.0,10
reaching,Linear MPC,123,1.0,0.0,5.46566038778285,0.09853801169590644,3.1410202207670093,0.0,10
reaching,Nonlinear MPC (iLQR),0,1.0,0.0,5.4374622930568615,0.10467836257309941,23.145736471820644,0.0,10
reaching,Nonlinear MPC (iLQR),1,1.0,0.0,5.464443289166005,0.09327485380116958,25.512818598232034,0.0,10
reaching,Nonlinear MPC (iLQR),2,1.0,0.0,5.43008627971153,0.09970760233918127,25.330051250295572,0.0,10
reaching,Nonlinear MPC (iLQR),42,1.0,0.0,5.513680928660145,0.09736842105263158,37.121364081207645,0.0,10
reaching,Nonlinear MPC (iLQR),123,1.0,0.0,5.454003135633867,0.08830409356725147,25.290258114065495,0.0,10
reaching,Collision-Free MPC,0,1.0,0.0,5.573709834847281,0.1,278.1341170607549,0.0,10
reaching,Collision-Free MPC,1,1.0,0.0,5.444435146880781,0.10032679738562092,206.21153975264752,0.0,10
reaching,Collision-Free MPC,2,1.0,0.0,5.4844379368349845,0.10529755761953905,151.33226053468647,0.0,10
reaching,Collision-Free MPC,42,1.0,0.0,5.527001815709979,0.1,153.94082403120896,0.0,10
reaching,Collision-Free MPC,123,1.0,0.0,5.630525457767632,0.09385964912280702,106.32894156291013,0.0,10
reaching,Diffusion Warm-Start MPC,0,1.0,0.0,5.496196179763443,0.0957516339869281,151.7606529379811,0.0,10
reaching,Diffusion Warm-Start MPC,1,1.0,0.0,5.4744184538213405,0.08398692810457517,521.8115261905776,0.0,10
reaching,Diffusion Warm-Start MPC,2,1.0,0.0,5.541444453263361,0.10588235294117647,145.00566292592183,0.0,10
reaching,Diffusion Warm-Start MPC,42,1.0,0.0,5.562594243899901,0.10065359477124183,103.65583532858105,0.0,10
reaching,Diffusion Warm-Start MPC,123,1.0,0.0,5.525873835317942,0.10196078431372549,67.9547386912757,0.0,10
reaching,MIP (standalone),0,0.4,0.4898979485566356,76.56877809706602,0.047435897435897434,0.02517841460828025,0.0,10
reaching,MIP (standalone),1,0.1,0.30000000000000004,111.68637263377354,0.030952380952380946,0.017091096378862854,0.0,10
reaching,MIP (standalone),2,0.6,0.48989794855663565,53.001252048629205,0.08031135531135532,0.017717831675133806,0.0,10
reaching,MIP (standalone),42,0.2,0.4000000000000001,100.16375544384132,0.0469047619047619,0.006914970941752906,0.0,10
reaching,MIP (standalone),123,0.2,0.4000000000000001,100.14438930076535,0.049670329670329666,0.006878854542281548,0.0,10
reaching,DDPM Policy,0,0.0,0.0,4.522859473287231,0.0,17.58807083863454,0.0,10
reaching,DDPM Policy,1,0.0,0.0,3.9878190606857826,0.008333333333333333,10.354306548057746,0.0,10
reaching,DDPM Policy,2,0.0,0.0,3.5068918857750733,0.011666666666666667,10.437125628814101,0.0,10
reaching,DDPM Policy,42,0.0,0.0,4.447104297692868,0.013333333333333332,10.416753679746764,0.0,10
reaching,DDPM Policy,123,0.0,0.0,3.8549584118015168,0.0,10.29496208104926,0.0,10
reaching,Flow Matching Policy,0,0.1,0.30000000000000004,84.15375547670051,0.028809523809523806,13.699267711046906,0.0,10
reaching,Flow Matching Policy,1,0.1,0.30000000000000004,87.85630032278004,0.034999999999999996,9.497063449428726,0.0,10
reaching,Flow Matching Policy,2,0.1,0.30000000000000004,87.34182103827706,0.030000000000000006,14.799436401808636,0.0,10
reaching,Flow Matching Policy,42,0.1,0.30000000000000004,83.83487308380106,0.028809523809523806,9.578949914457986,0.0,10
reaching,Flow Matching Policy,123,0.2,0.4000000000000001,78.26949401094434,0.05178571428571429,9.496866101800974,0.0,10
reaching,Regression Policy,0,0.0,0.0,123.9426558975758,0.023333333333333334,0.07822590841290852,0.0,10
reaching,Regression Policy,1,0.0,0.0,123.88589459347875,0.025,0.07618583040311933,0.0,10
reaching,Regression Policy,2,0.2,0.4000000000000001,100.28045707925484,0.05133699633699633,0.4182106659503743,0.0,10
reaching,Regression Policy,42,0.2,0.4000000000000001,100.15446302960702,0.04307692307692308,0.07608033003261647,0.0,10
reaching,Regression Policy,123,0.2,0.4000000000000001,100.18574069790846,0.03974358974358975,0.07587313069961965,0.0,10
reaching,Iterative Regression Policy,0,0.5,0.5,65.0233741281413,0.05948717948717948,0.2476569827204236,0.0,10
reaching,Iterative Regression Policy,1,0.1,0.30000000000000004,112.69429071335848,0.043717948717948714,0.23026519708741355,0.0,10
reaching,Iterative Regression Policy,2,0.4,0.4898979485566356,76.9556439026157,0.07051282051282051,1.3600379125012134,0.0,10
reaching,Iterative Regression Policy,42,0.2,0.4000000000000001,100.75005436559515,0.038717948717948716,0.23024292358268914,0.0,10
reaching,Iterative Regression Policy,123,0.2,0.4,100.7648831773398,0.044743589743589746,0.2299741386638907,0.0,10
reaching_cluttered,Linear MPC,0,1.0,0.0,5.497964767902531,0.18391812865497076,2.846965242356977,0.0,10
reaching_cluttered,Linear MPC,1,1.0,0.0,5.534620529102756,0.193859649122807,3.226996125988335,0.0,10
reaching_cluttered,Linear MPC,2,1.0,0.0,5.541128129641432,0.1888888888888889,3.988961144745328,0.0,10
reaching_cluttered,Linear MPC,42,1.0,0.0,5.4347528376890235,0.17953216374269004,4.045956671014646,0.0,10
reaching_cluttered,Linear MPC,123,1.0,0.0,5.46566038778285,0.20175438596491224,9.285922255162804,0.0,10
reaching_cluttered,Nonlinear MPC (iLQR),0,1.0,0.0,5.4374622930568615,0.1763157894736842,23.386547727202615,0.0,10
reaching_cluttered,Nonlinear MPC (iLQR),1,1.0,0.0,5.464443289166005,0.2017543859649123,24.986262954717056,0.0,10
reaching_cluttered,Nonlinear MPC (iLQR),2,1.0,0.0,5.43008627971153,0.18245614035087718,25.638745918227308,0.0,10
reaching_cluttered,Nonlinear MPC (iLQR),42,1.0,0.0,5.513680928660145,0.2,26.699161243812885,0.0,10
reaching_cluttered,Nonlinear MPC (iLQR),123,1.0,0.0,5.454003135633867,0.1868421052631579,25.835447622073698,0.0,10
reaching_cluttered,Collision-Free MPC,0,1.0,0.0,5.560549442205821,0.2094771241830065,133.0198315453101,0.0,10
reaching_cluttered,Collision-Free MPC,1,1.0,0.0,5.421991751144127,0.19575163398692813,123.01208433981229,0.0,10
